﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1KGi9sZVMeszgZOWivFpxs","No Scrubs","TLC","Fanmail","1","5","214400","spotify:user:12169871666","2020-02-17T19:35:40Z"
"spotify:track:6qspW4YKycviDFjHBOaqUY","Waterfalls","TLC","Crazysexycool","1","8","279506","spotify:user:12169871666","2020-02-17T19:35:57Z"
"spotify:track:2PpruBYCo4H7WOBJ7Q2EwM","Hey Ya!","OutKast","Speakerboxxx/The Love Below","2","9","235213","spotify:user:12169871666","2020-02-17T19:36:33Z"
"spotify:track:5mvKuE9Lf9ARVXVXA32kK9","Price Tag","Jessie J, B.o.B","Who You Are (Platinum Edition)","1","1","223053","spotify:user:12169871666","2020-02-17T19:38:33Z"
"spotify:track:3qim3nNFg4aSTLZDLAFXhx","Irreplaceable","Beyoncé","B'Day","1","9","227666","spotify:user:12169871666","2020-02-17T19:39:08Z"
"spotify:track:1JO1xLtVc8mWhIoE3YaCL0","Happy Together","The Turtles","Happy Together","1","6","176293","spotify:user:12169871666","2020-02-17T19:39:41Z"
"spotify:track:4QlzkaRHtU8gAdwqjWmO8n","Friday I'm In Love","The Cure","Wish","1","7","215160","spotify:user:12169871666","2020-02-17T19:39:51Z"
"spotify:track:2EC9IJj7g0mN1Q5VrZkiYY","Rebel Rebel - 2016 Remaster","David Bowie","Diamond Dogs (2016 Remaster)","1","6","274746","spotify:user:12169871666","2020-02-17T19:40:00Z"
"spotify:track:0ZUo4YjG4saFnEJhdWp9Bt","Before He Cheats","Carrie Underwood","Some Hearts","1","7","199946","spotify:user:12169871666","2020-02-17T19:40:34Z"
"spotify:track:52a6VcF23v5HB7KfDEmBHq","Carried Away","Passion Pit","Gossamer","1","3","221973","spotify:user:12169871666","2020-02-17T19:41:52Z"
"spotify:track:4I7DV3MIgxJGlObiy9s6nx","That Don't Impress Me Much","Shania Twain","Come On Over (International Version)","1","13","238706","spotify:user:12169871666","2020-02-17T19:42:26Z"
"spotify:track:2utvK2CuAEXbUnPpV9ataH","One Way Or Another","Blondie","Atomic/Atomix","1","16","208360","spotify:user:12169871666","2020-02-17T19:43:05Z"
"spotify:track:0JgMHia55MBfhfqZIRi3kF","Pump It Up","Elvis Costello & The Attractions","This Year's Model","1","4","196680","spotify:user:12169871666","2020-02-17T19:43:31Z"
"spotify:track:2SpEHTbUuebeLkgs9QB7Ue","Jolene","Dolly Parton","Jolene","1","1","161533","spotify:user:12169871666","2020-02-17T19:43:48Z"
"spotify:track:4UOJP2V57P0HvywXtowpqY","Hercules","Guster","Easy Wonderful (Deluxe Version)","1","11","172533","spotify:user:12169871666","2020-02-17T19:44:34Z"
"spotify:track:4rXLBbqi7u82naZjSzyx3Q","Lost At Sea","Guster","Easy Wonderful (Deluxe Version)","1","15","192960","spotify:user:12169871666","2020-02-17T19:44:37Z"
"spotify:track:14j4diRlUSWvbq5t0rgR6b","Satellite","Guster","Ganging Up On The Sun","1","2","273160","spotify:user:12169871666","2020-02-17T19:44:44Z"
"spotify:track:2RlgNHKcydI9sayD2Df2xp","Mr. Blue Sky","Electric Light Orchestra","Out of the Blue","1","13","303373","spotify:user:12169871666","2020-02-17T19:45:36Z"
"spotify:track:6tTK4VThcATTJgkiEh81d4","Rosalie Come And Go","Ryan Adams","Gold","2","1","233266","spotify:user:12169871666","2020-02-17T19:46:14Z"
"spotify:track:7oK9VyNzrYvRFo7nQEYkWN","Mr. Brightside","The Killers","Hot Fuss","1","2","222586","spotify:user:12169871666","2020-02-17T19:47:30Z"
"spotify:track:0PNt5WTw092eED0ru9SuIp","Romeo And Juliet","Dire Straits","Making Movies","1","2","360666","spotify:user:12169871666","2020-02-17T19:47:49Z"
"spotify:track:2aibwv5hGXSgw7Yru8IYTO","Snow (Hey Oh)","Red Hot Chili Peppers","Stadium Arcadium","1","2","334666","spotify:user:12169871666","2020-02-17T19:47:58Z"
"spotify:track:05qq6mwIbG1ZsQhlMKyDwN","Raise Your Glass","P!nk","Greatest Hits...So Far!!!","1","17","203266","spotify:user:12169871666","2020-02-17T19:49:22Z"
"spotify:track:0J2p4KYdr6Mg4ET6JPlbe1","Super Trouper","ABBA","Super Trouper","1","1","252853","spotify:user:12169871666","2020-02-17T19:49:34Z"
"spotify:track:2TxCwUlqaOH3TIyJqGgR91","Mamma Mia","ABBA","Abba","1","1","213266","spotify:user:12169871666","2020-02-17T19:49:38Z"
"spotify:track:1LpjlPR8Gv52B04UQNLZAw","Finest Girl (Bin Laden Song)","The Lonely Island","Popstar: Never Stop Never Stopping","1","5","150586","spotify:user:12169871666","2020-02-17T19:50:42Z"
"spotify:track:1K66si1ZELsRZzg7m7mcps","Shut Up and Dance","WALK THE MOON","Shut Up and Dance","1","1","197720","spotify:user:12169871666","2020-02-17T19:51:00Z"
"spotify:track:5qFPs70nZD1fQZOi7u7cIZ","Wake Me Up Before You Go-Go - Remastered","Wham!","Twenty Five","1","2","232280","spotify:user:12169871666","2020-02-17T19:52:01Z"
"spotify:track:5jGHNc7FNfaRXsC42dAO9J","Got My Mind Set On You - 2009 Mix","George Harrison","Let It Roll - Songs Of George Harrison","1","1","232626","spotify:user:12169871666","2020-02-17T19:53:20Z"
"spotify:track:5gCuaIOZEkXW5VyNJEXg1K","The Fish Cheer / I-Feel-Like-I’m-Fixin’-To Die Rag","Country Joe & The Fish","The Wave Of Electrical Sound","4","1","224066","spotify:user:12169871666","2020-02-17T19:55:39Z"
"spotify:track:1UKobFsdqNXQb8OthimCKe","Helplessly Hoping - 2005 Remaster","Crosby, Stills & Nash","Crosby, Stills & Nash","1","8","157893","spotify:user:12169871666","2020-02-17T19:57:01Z"
"spotify:track:7qvsl2pYzrsYgPeFBN5jxp","Juicy","Doja Cat, Tyga","Juicy","1","1","202333","spotify:user:12169871666","2020-02-17T19:57:27Z"
"spotify:track:7iL6o9tox1zgHpKUfh9vuC","In Da Club","50 Cent","Get Rich Or Die Tryin'","1","5","193466","spotify:user:12169871666","2020-02-17T19:58:11Z"
"spotify:track:3OdLF91U19bI7nMw8wHnE3","After Hours","The Bluetones","The Singles","1","13","212666","spotify:user:12169871666","2020-02-17T19:59:58Z"
